,power_price,gas_price,bhkw_bin,storage_bin,bhkw_gas,bhkw_power,bhkw_heat,plant_supply_power,storage_power,storage_energy
206,228.34,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
207,230.66,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
208,241.82,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
209,241.82,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
210,251.89,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
211,262.22,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
212,246.73,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
213,190.37,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
214,178.84,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
215,171.77,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
216,165.27,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
217,143.49,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
218,140.88,67.124,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
219,140.88,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
220,140.88,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
221,140.88,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
222,140.88,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
223,165.27,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
224,182.78,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
225,241.82,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
226,241.82,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
227,241.82,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
228,241.82,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
229,241.82,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
230,241.78,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
231,241.78,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
232,241.82,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
233,246.73,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
234,264.87,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
235,264.87,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
236,262.14,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
237,190.37,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
238,181.56,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
239,177.97,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
240,167.69,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
241,151.05,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,1.0
242,140.84,67.124,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
243,137.32,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
244,134.45,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,3.0
245,134.45,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,4.0
246,135.14,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,5.0
247,141.77,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,5.0
248,190.34,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
249,246.68,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
250,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,3.0
251,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
252,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
253,232.19,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
254,213.01,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,0.0
255,194.71,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
256,194.64,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
257,199.69,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
258,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
259,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
260,241.78,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,0.0
261,166.05,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,1.0
262,151.88,67.124,1.0,1.0,2.5,1.0,1.0,0.0,1.0,2.0
263,136.91,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
264,130.7,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
265,122.77,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
266,118.15,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
267,109.83,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
268,109.7,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
269,109.83,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
270,118.67,67.124,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
271,130.7,67.124,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2.0
272,167.45,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
273,224.37,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,2.0
274,199.52,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,1.0
275,166.03,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,2.0
276,166.03,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,3.0
277,166.03,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,4.0
278,166.03,67.124,1.0,1.0,4.8,2.0,2.0,1.0,1.0,5.0
279,190.77,67.124,1.0,1.0,4.8,2.0,2.0,2.0,0.0,5.0
280,217.02,67.124,1.0,1.0,4.8,2.0,2.0,3.0,-1.0,4.0
