t,value,temp_fwd,temp_ret
4102,0.2981064141548315,75.0,60.0
4103,0.3128203924879646,75.0,60.0
4104,0.2940300755774805,75.0,60.0
4105,0.36168378468629603,75.0,60.0
4106,0.31142967467497534,75.0,60.0
4107,0.3002744101266167,75.0,60.0
4108,0.2805185688171372,75.0,60.0
4109,0.3408793781626983,75.0,60.0
4110,0.20254337841272615,75.0,60.0
4111,0.2126612094566614,75.0,60.0
4112,0.1129680008199956,75.0,60.0
4113,0.11087600080481051,75.0,60.0
4114,0.10808666745123036,75.0,60.0
4115,0.1379599563264315,75.0,60.0
4116,0.20614286959241523,75.0,60.0
4117,0.2906824626265468,75.0,60.0
4118,0.29325641711027467,75.0,60.0
4119,0.29978272843666376,75.0,60.0
4120,0.3214401860600441,75.0,60.0
4121,0.3219288367091253,75.0,60.0
4122,0.41051377629554264,75.0,60.0
4123,0.4580682385949773,75.0,60.0
4124,0.49253874180968443,75.0,60.0
4125,0.5547954995921072,75.0,60.0
4126,0.5386189505578589,75.0,60.0
4127,0.5410327232963872,75.0,60.0
4128,0.4672742549962097,75.0,60.0
4129,0.42476325407716986,75.0,60.0
4130,0.4294686148205313,75.0,60.0
4131,0.36930407635859497,75.0,60.0
4132,0.3622898441633322,75.0,60.0
4133,0.4276423396019914,75.0,60.0
4134,0.1651528714472278,75.0,60.0
4135,0.1129680008199956,75.0,60.0
4136,0.10645955632830861,75.0,60.0
4137,0.09948622294435826,75.0,60.0
4138,0.09530222291398806,75.0,60.0
4139,0.08995600065295947,75.0,60.0
4140,0.12057290735481362,75.0,60.0
4141,0.30333330682864623,75.0,60.0
4142,0.3308671206421695,75.0,60.0
4143,0.3771668121319922,75.0,60.0
4144,0.3468072478299489,75.0,60.0
4145,0.38454334222668807,75.0,60.0
4146,0.5764795990628897,75.0,60.0
4147,0.6135017201839075,75.0,60.0
4148,0.6059264274028755,75.0,60.0
4149,0.5355124349946954,75.0,60.0
4150,0.4230186736464144,75.0,60.0
4151,0.4174610411254815,75.0,60.0
4152,0.3307931481867842,75.0,60.0
4153,0.3603134473115176,75.0,60.0
4154,0.3182337187109453,75.0,60.0
